"국가(대륙)별","상품군별","판매유형별","시점",데이터
"미국","사무·문구","면세점 이외","2018.2/4",55
"미국","사무·문구","면세점 이외","2018.3/4",85
"미국","사무·문구","면세점 이외","2018.4/4",83
"미국","사무·문구","면세점 이외","2019.1/4",198
"미국","사무·문구","면세점 이외","2019.2/4",72
"미국","사무·문구","면세점 이외","2019.3/4",83
"미국","사무·문구","면세점 이외","2019.4/4",101
"미국","사무·문구","면세점 이외","2020.1/4",74
"미국","사무·문구","면세점 이외","2020.2/4",85
"미국","사무·문구","면세점 이외","2020.3/4",87
"미국","사무·문구","면세점 이외","2020.4/4",152
"미국","사무·문구","면세점 이외","2021.1/4",1409
"미국","사무·문구","면세점 이외","2021.2/4",373
"미국","사무·문구","면세점 이외","2021.3/4",1275
"미국","사무·문구","면세점 이외","2021.4/4",334
"미국","사무·문구","면세점 이외","2022.1/4",625
"미국","사무·문구","면세점 이외","2022.2/4 p)",587
"미국","음반·비디오·악기","면세점 이외","2017.1/4",1922
"미국","음반·비디오·악기","면세점 이외","2017.2/4",1778
"미국","음반·비디오·악기","면세점 이외","2017.3/4",2281
"미국","음반·비디오·악기","면세점 이외","2017.4/4",2647
"미국","음반·비디오·악기","면세점 이외","2018.1/4",2362
"미국","음반·비디오·악기","면세점 이외","2018.2/4",3014
"미국","음반·비디오·악기","면세점 이외","2018.3/4",3932
"미국","음반·비디오·악기","면세점 이외","2018.4/4",4550
"미국","음반·비디오·악기","면세점 이외","2019.1/4",3857
"미국","음반·비디오·악기","면세점 이외","2019.2/4",5191
"미국","음반·비디오·악기","면세점 이외","2019.3/4",5762
"미국","음반·비디오·악기","면세점 이외","2019.4/4",4786
"미국","음반·비디오·악기","면세점 이외","2020.1/4",5258
"미국","음반·비디오·악기","면세점 이외","2020.2/4",7516
"미국","음반·비디오·악기","면세점 이외","2020.3/4",9854
"미국","음반·비디오·악기","면세점 이외","2020.4/4",10291
"미국","음반·비디오·악기","면세점 이외","2021.1/4",12041
"미국","음반·비디오·악기","면세점 이외","2021.2/4",9541
"미국","음반·비디오·악기","면세점 이외","2021.3/4",10170
"미국","음반·비디오·악기","면세점 이외","2021.4/4",10089
"미국","음반·비디오·악기","면세점 이외","2022.1/4",7316
"미국","음반·비디오·악기","면세점 이외","2022.2/4 p)",8198
"미국","의류 및 패션 관련상품","면세점 이외","2017.1/4",13508
"미국","의류 및 패션 관련상품","면세점 이외","2017.2/4",11004
"미국","의류 및 패션 관련상품","면세점 이외","2017.3/4",11025
"미국","의류 및 패션 관련상품","면세점 이외","2017.4/4",14354
"미국","의류 및 패션 관련상품","면세점 이외","2018.1/4",11699
"미국","의류 및 패션 관련상품","면세점 이외","2018.2/4",12015
"미국","의류 및 패션 관련상품","면세점 이외","2018.3/4",10099
"미국","의류 및 패션 관련상품","면세점 이외","2018.4/4",13540
"미국","의류 및 패션 관련상품","면세점 이외","2019.1/4",12214
"미국","의류 및 패션 관련상품","면세점 이외","2019.2/4",13568
"미국","의류 및 패션 관련상품","면세점 이외","2019.3/4",13273
"미국","의류 및 패션 관련상품","면세점 이외","2019.4/4",16070
"미국","의류 및 패션 관련상품","면세점 이외","2020.1/4",12743
"미국","의류 및 패션 관련상품","면세점 이외","2020.2/4",23154
"미국","의류 및 패션 관련상품","면세점 이외","2020.3/4",21980
"미국","의류 및 패션 관련상품","면세점 이외","2020.4/4",24277
"미국","의류 및 패션 관련상품","면세점 이외","2021.1/4",21303
"미국","의류 및 패션 관련상품","면세점 이외","2021.2/4",24804
"미국","의류 및 패션 관련상품","면세점 이외","2021.3/4",24847
"미국","의류 및 패션 관련상품","면세점 이외","2021.4/4",29708
"미국","의류 및 패션 관련상품","면세점 이외","2022.1/4",21265
"미국","의류 및 패션 관련상품","면세점 이외","2022.2/4 p)",24301
"미국","스포츠·레저용품","면세점 이외","2017.1/4",1475
"미국","스포츠·레저용품","면세점 이외","2017.2/4",1021
"미국","스포츠·레저용품","면세점 이외","2017.3/4",874
"미국","스포츠·레저용품","면세점 이외","2017.4/4",1121
"미국","스포츠·레저용품","면세점 이외","2018.1/4",1181
"미국","스포츠·레저용품","면세점 이외","2018.2/4",1439
"미국","스포츠·레저용품","면세점 이외","2018.3/4",1199
"미국","스포츠·레저용품","면세점 이외","2018.4/4",1069
"미국","스포츠·레저용품","면세점 이외","2019.1/4",1148
"미국","스포츠·레저용품","면세점 이외","2019.2/4",1602
"미국","스포츠·레저용품","면세점 이외","2019.3/4",3150
"미국","스포츠·레저용품","면세점 이외","2019.4/4",864
"미국","스포츠·레저용품","면세점 이외","2020.1/4",953
"미국","스포츠·레저용품","면세점 이외","2020.2/4",1641
"미국","스포츠·레저용품","면세점 이외","2020.3/4",1791
"미국","스포츠·레저용품","면세점 이외","2020.4/4",1477
"미국","스포츠·레저용품","면세점 이외","2021.1/4",1004
"미국","스포츠·레저용품","면세점 이외","2021.2/4",1289
"미국","스포츠·레저용품","면세점 이외","2021.3/4",1819
"미국","스포츠·레저용품","면세점 이외","2021.4/4",810
"미국","스포츠·레저용품","면세점 이외","2022.1/4",304
"미국","스포츠·레저용품","면세점 이외","2022.2/4 p)",284
"미국","화장품","면세점 이외","2017.1/4",7539
"미국","화장품","면세점 이외","2017.2/4",6506
"미국","화장품","면세점 이외","2017.3/4",6795
"미국","화장품","면세점 이외","2017.4/4",10397
"미국","화장품","면세점 이외","2018.1/4",8982
"미국","화장품","면세점 이외","2018.2/4",7908
"미국","화장품","면세점 이외","2018.3/4",7689
"미국","화장품","면세점 이외","2018.4/4",13958
"미국","화장품","면세점 이외","2019.1/4",8451
"미국","화장품","면세점 이외","2019.2/4",8663
"미국","화장품","면세점 이외","2019.3/4",12449
"미국","화장품","면세점 이외","2019.4/4",12223
"미국","화장품","면세점 이외","2020.1/4",11846
"미국","화장품","면세점 이외","2020.2/4",11482
"미국","화장품","면세점 이외","2020.3/4",12042
"미국","화장품","면세점 이외","2020.4/4",14076
"미국","화장품","면세점 이외","2021.1/4",11831
"미국","화장품","면세점 이외","2021.2/4",8797
"미국","화장품","면세점 이외","2021.3/4",8125
"미국","화장품","면세점 이외","2021.4/4",9912
"미국","화장품","면세점 이외","2022.1/4",6600
"미국","화장품","면세점 이외","2022.2/4 p)",5438
"미국","아동·유아용품","면세점 이외","2017.1/4",684
"미국","아동·유아용품","면세점 이외","2017.2/4",592
"미국","아동·유아용품","면세점 이외","2017.3/4",591
"미국","아동·유아용품","면세점 이외","2017.4/4",722
"미국","아동·유아용품","면세점 이외","2018.1/4",765
"미국","아동·유아용품","면세점 이외","2018.2/4",793
"미국","아동·유아용품","면세점 이외","2018.3/4",728
"미국","아동·유아용품","면세점 이외","2018.4/4",1056
"미국","아동·유아용품","면세점 이외","2019.1/4",815
"미국","아동·유아용품","면세점 이외","2019.2/4",1153
"미국","아동·유아용품","면세점 이외","2019.3/4",1702
"미국","아동·유아용품","면세점 이외","2019.4/4",1928
"미국","아동·유아용품","면세점 이외","2020.1/4",945
"미국","아동·유아용품","면세점 이외","2020.2/4",1344
"미국","아동·유아용품","면세점 이외","2020.3/4",1243
"미국","아동·유아용품","면세점 이외","2020.4/4",1402
"미국","아동·유아용품","면세점 이외","2021.1/4",1973
"미국","아동·유아용품","면세점 이외","2021.2/4",1678
"미국","아동·유아용품","면세점 이외","2021.3/4",1492
"미국","아동·유아용품","면세점 이외","2021.4/4",823
"미국","아동·유아용품","면세점 이외","2022.1/4",456
"미국","아동·유아용품","면세점 이외","2022.2/4 p)",557
"미국","음·식료품","면세점 이외","2017.1/4",328
"미국","음·식료품","면세점 이외","2017.2/4",120
"미국","음·식료품","면세점 이외","2017.3/4",328
"미국","음·식료품","면세점 이외","2017.4/4",162
"미국","음·식료품","면세점 이외","2018.1/4",202
"미국","음·식료품","면세점 이외","2018.2/4",211
"미국","음·식료품","면세점 이외","2018.3/4",159
"미국","음·식료품","면세점 이외","2018.4/4",153
"미국","음·식료품","면세점 이외","2019.1/4",225
"미국","음·식료품","면세점 이외","2019.2/4",240
"미국","음·식료품","면세점 이외","2019.3/4",538
"미국","음·식료품","면세점 이외","2019.4/4",354
"미국","음·식료품","면세점 이외","2020.1/4",1164
"미국","음·식료품","면세점 이외","2020.2/4",473
"미국","음·식료품","면세점 이외","2020.3/4",466
"미국","음·식료품","면세점 이외","2020.4/4",603
"미국","음·식료품","면세점 이외","2021.1/4",603
"미국","음·식료품","면세점 이외","2021.2/4",701
"미국","음·식료품","면세점 이외","2021.3/4",956
"미국","음·식료품","면세점 이외","2021.4/4",927
"미국","음·식료품","면세점 이외","2022.1/4",1011
"미국","음·식료품","면세점 이외","2022.2/4 p)",972
"미국","농축수산물","면세점 이외","2017.1/4",1
"미국","농축수산물","면세점 이외","2017.2/4",0
"미국","농축수산물","면세점 이외","2017.3/4",0
"미국","농축수산물","면세점 이외","2017.4/4",2
"미국","농축수산물","면세점 이외","2018.1/4",1
"미국","농축수산물","면세점 이외","2018.2/4",0
"미국","농축수산물","면세점 이외","2018.3/4",0
"미국","농축수산물","면세점 이외","2018.4/4",33
"미국","농축수산물","면세점 이외","2019.1/4",2
"미국","농축수산물","면세점 이외","2019.2/4",2
"미국","농축수산물","면세점 이외","2019.3/4",7
"미국","농축수산물","면세점 이외","2019.4/4",2
"미국","농축수산물","면세점 이외","2020.1/4",2
"미국","농축수산물","면세점 이외","2020.2/4",12
"미국","농축수산물","면세점 이외","2020.3/4",8
"미국","농축수산물","면세점 이외","2020.4/4",11
"미국","농축수산물","면세점 이외","2021.1/4",10
"미국","농축수산물","면세점 이외","2021.2/4",1
"미국","농축수산물","면세점 이외","2021.3/4",4
"미국","농축수산물","면세점 이외","2021.4/4",5
"미국","농축수산물","면세점 이외","2022.1/4",10
"미국","농축수산물","면세점 이외","2022.2/4 p)",15
"미국","생활용품 및 자동차용품","면세점 이외","2017.1/4",3060
"미국","생활용품 및 자동차용품","면세점 이외","2017.2/4",2741
"미국","생활용품 및 자동차용품","면세점 이외","2017.3/4",2349
"미국","생활용품 및 자동차용품","면세점 이외","2017.4/4",2276
"미국","생활용품 및 자동차용품","면세점 이외","2018.1/4",2483
"미국","생활용품 및 자동차용품","면세점 이외","2018.2/4",2357
"미국","생활용품 및 자동차용품","면세점 이외","2018.3/4",2150
"미국","생활용품 및 자동차용품","면세점 이외","2018.4/4",2159
"미국","생활용품 및 자동차용품","면세점 이외","2019.1/4",2174
"미국","생활용품 및 자동차용품","면세점 이외","2019.2/4",2410
"미국","생활용품 및 자동차용품","면세점 이외","2019.3/4",3407
"미국","생활용품 및 자동차용품","면세점 이외","2019.4/4",3713
"미국","생활용품 및 자동차용품","면세점 이외","2020.1/4",2256
"미국","생활용품 및 자동차용품","면세점 이외","2020.2/4",3217
"미국","생활용품 및 자동차용품","면세점 이외","2020.3/4",3028
"미국","생활용품 및 자동차용품","면세점 이외","2020.4/4",2966
"미국","생활용품 및 자동차용품","면세점 이외","2021.1/4",2657
"미국","생활용품 및 자동차용품","면세점 이외","2021.2/4",2885
"미국","생활용품 및 자동차용품","면세점 이외","2021.3/4",2773
"미국","생활용품 및 자동차용품","면세점 이외","2021.4/4",1073
"미국","생활용품 및 자동차용품","면세점 이외","2022.1/4",379
"미국","생활용품 및 자동차용품","면세점 이외","2022.2/4 p)",326
"미국","기 타","면세점 이외","2017.1/4",2630
"미국","기 타","면세점 이외","2017.2/4",3085
"미국","기 타","면세점 이외","2017.3/4",2935
"미국","기 타","면세점 이외","2017.4/4",4075
"미국","기 타","면세점 이외","2018.1/4",3793
"미국","기 타","면세점 이외","2018.2/4",3540
"미국","기 타","면세점 이외","2018.3/4",3633
"미국","기 타","면세점 이외","2018.4/4",4445
"미국","기 타","면세점 이외","2019.1/4",3820
"미국","기 타","면세점 이외","2019.2/4",4273
"미국","기 타","면세점 이외","2019.3/4",5897
"미국","기 타","면세점 이외","2019.4/4",7353
"미국","기 타","면세점 이외","2020.1/4",7953
"미국","기 타","면세점 이외","2020.2/4",9792
"미국","기 타","면세점 이외","2020.3/4",9384
"미국","기 타","면세점 이외","2020.4/4",11602
"미국","기 타","면세점 이외","2021.1/4",12863
"미국","기 타","면세점 이외","2021.2/4",11915
"미국","기 타","면세점 이외","2021.3/4",11916
"미국","기 타","면세점 이외","2021.4/4",8422
"미국","기 타","면세점 이외","2022.1/4",9370
"미국","기 타","면세점 이외","2022.2/4 p)",8192
"중국","컴퓨터 및 주변기기","면세점 이외","2017.1/4",44
"중국","컴퓨터 및 주변기기","면세점 이외","2017.2/4",26
"중국","컴퓨터 및 주변기기","면세점 이외","2017.3/4",35
"중국","컴퓨터 및 주변기기","면세점 이외","2017.4/4",64
"중국","컴퓨터 및 주변기기","면세점 이외","2018.1/4",32
"중국","컴퓨터 및 주변기기","면세점 이외","2018.2/4",20
"중국","컴퓨터 및 주변기기","면세점 이외","2018.3/4",16
"중국","컴퓨터 및 주변기기","면세점 이외","2018.4/4",26
"중국","컴퓨터 및 주변기기","면세점 이외","2019.1/4",29
"중국","컴퓨터 및 주변기기","면세점 이외","2019.2/4",19
"중국","컴퓨터 및 주변기기","면세점 이외","2019.3/4",26
"중국","컴퓨터 및 주변기기","면세점 이외","2019.4/4",34
"중국","컴퓨터 및 주변기기","면세점 이외","2020.1/4",61
"중국","컴퓨터 및 주변기기","면세점 이외","2020.2/4",41
"중국","컴퓨터 및 주변기기","면세점 이외","2020.3/4",66
"중국","컴퓨터 및 주변기기","면세점 이외","2020.4/4",67
"중국","컴퓨터 및 주변기기","면세점 이외","2021.1/4",46
"중국","컴퓨터 및 주변기기","면세점 이외","2021.2/4",49
"중국","컴퓨터 및 주변기기","면세점 이외","2021.3/4",49
"중국","컴퓨터 및 주변기기","면세점 이외","2021.4/4",52
"중국","컴퓨터 및 주변기기","면세점 이외","2022.1/4",19
"중국","컴퓨터 및 주변기기","면세점 이외","2022.2/4 p)",26
"중국","가전·전자·통신기기","면세점 이외","2017.1/4",391
"중국","가전·전자·통신기기","면세점 이외","2017.2/4",310
"중국","가전·전자·통신기기","면세점 이외","2017.3/4",184
"중국","가전·전자·통신기기","면세점 이외","2017.4/4",352
"중국","가전·전자·통신기기","면세점 이외","2018.1/4",379
"중국","가전·전자·통신기기","면세점 이외","2018.2/4",338
"중국","가전·전자·통신기기","면세점 이외","2018.3/4",230
"중국","가전·전자·통신기기","면세점 이외","2018.4/4",290
"중국","가전·전자·통신기기","면세점 이외","2019.1/4",310
"중국","가전·전자·통신기기","면세점 이외","2019.2/4",347
"중국","가전·전자·통신기기","면세점 이외","2019.3/4",402
"중국","가전·전자·통신기기","면세점 이외","2019.4/4",499
"중국","가전·전자·통신기기","면세점 이외","2020.1/4",443
"중국","가전·전자·통신기기","면세점 이외","2020.2/4",400
"중국","가전·전자·통신기기","면세점 이외","2020.3/4",316
"중국","가전·전자·통신기기","면세점 이외","2020.4/4",194
"중국","가전·전자·통신기기","면세점 이외","2021.1/4",222
"중국","가전·전자·통신기기","면세점 이외","2021.2/4",175
"중국","가전·전자·통신기기","면세점 이외","2021.3/4",108
"중국","가전·전자·통신기기","면세점 이외","2021.4/4",87
"중국","가전·전자·통신기기","면세점 이외","2022.1/4",164
"중국","가전·전자·통신기기","면세점 이외","2022.2/4 p)",76
"중국","소프트웨어","면세점 이외","2017.1/4",3
"중국","소프트웨어","면세점 이외","2017.2/4",8
"중국","소프트웨어","면세점 이외","2017.3/4",4
"중국","소프트웨어","면세점 이외","2017.4/4",54
"중국","소프트웨어","면세점 이외","2018.1/4",4
"중국","소프트웨어","면세점 이외","2018.2/4",6
"중국","소프트웨어","면세점 이외","2018.3/4",4
"중국","소프트웨어","면세점 이외","2018.4/4",13
"중국","소프트웨어","면세점 이외","2019.1/4",6
"중국","소프트웨어","면세점 이외","2019.2/4",1
"중국","소프트웨어","면세점 이외","2019.3/4",0
"중국","소프트웨어","면세점 이외","2019.4/4",0
"중국","소프트웨어","면세점 이외","2020.1/4",1
"중국","소프트웨어","면세점 이외","2020.2/4",2
"중국","소프트웨어","면세점 이외","2020.3/4",1
"중국","소프트웨어","면세점 이외","2020.4/4",0
"중국","소프트웨어","면세점 이외","2021.1/4",1
"중국","소프트웨어","면세점 이외","2021.2/4",0
"중국","소프트웨어","면세점 이외","2021.3/4",2
"중국","소프트웨어","면세점 이외","2021.4/4",0
"중국","소프트웨어","면세점 이외","2022.1/4",0
"중국","소프트웨어","면세점 이외","2022.2/4 p)",0
"중국","서 적","면세점 이외","2017.1/4",1393
"중국","서 적","면세점 이외","2017.2/4",931
"중국","서 적","면세점 이외","2017.3/4",1981
"중국","서 적","면세점 이외","2017.4/4",1500
"중국","서 적","면세점 이외","2018.1/4",1272
"중국","서 적","면세점 이외","2018.2/4",1802
"중국","서 적","면세점 이외","2018.3/4",1474
"중국","서 적","면세점 이외","2018.4/4",1749
"중국","서 적","면세점 이외","2019.1/4",1551
"중국","서 적","면세점 이외","2019.2/4",1185
"중국","서 적","면세점 이외","2019.3/4",1100
"중국","서 적","면세점 이외","2019.4/4",1237
