"국가(대륙)별","상품군별","판매유형별","시점",데이터
"일본","음반·비디오·악기","면세점 이외","2018.1/4",936
"일본","음반·비디오·악기","면세점 이외","2018.2/4",1281
"일본","음반·비디오·악기","면세점 이외","2018.3/4",1122
"일본","음반·비디오·악기","면세점 이외","2018.4/4",3679
"일본","음반·비디오·악기","면세점 이외","2019.1/4",2433
"일본","음반·비디오·악기","면세점 이외","2019.2/4",1632
"일본","음반·비디오·악기","면세점 이외","2019.3/4",2592
"일본","음반·비디오·악기","면세점 이외","2019.4/4",2055
"일본","음반·비디오·악기","면세점 이외","2020.1/4",2341
"일본","음반·비디오·악기","면세점 이외","2020.2/4",2829
"일본","음반·비디오·악기","면세점 이외","2020.3/4",4522
"일본","음반·비디오·악기","면세점 이외","2020.4/4",5046
"일본","음반·비디오·악기","면세점 이외","2021.1/4",3905
"일본","음반·비디오·악기","면세점 이외","2021.2/4",3575
"일본","음반·비디오·악기","면세점 이외","2021.3/4",4303
"일본","음반·비디오·악기","면세점 이외","2021.4/4",4157
"일본","음반·비디오·악기","면세점 이외","2022.1/4",3312
"일본","음반·비디오·악기","면세점 이외","2022.2/4 p)",3512
"일본","의류 및 패션 관련상품","면세점 이외","2017.1/4",20135
"일본","의류 및 패션 관련상품","면세점 이외","2017.2/4",19897
"일본","의류 및 패션 관련상품","면세점 이외","2017.3/4",22409
"일본","의류 및 패션 관련상품","면세점 이외","2017.4/4",26644
"일본","의류 및 패션 관련상품","면세점 이외","2018.1/4",34140
"일본","의류 및 패션 관련상품","면세점 이외","2018.2/4",34505
"일본","의류 및 패션 관련상품","면세점 이외","2018.3/4",32876
"일본","의류 및 패션 관련상품","면세점 이외","2018.4/4",33221
"일본","의류 및 패션 관련상품","면세점 이외","2019.1/4",36170
"일본","의류 및 패션 관련상품","면세점 이외","2019.2/4",34721
"일본","의류 및 패션 관련상품","면세점 이외","2019.3/4",31046
"일본","의류 및 패션 관련상품","면세점 이외","2019.4/4",29601
"일본","의류 및 패션 관련상품","면세점 이외","2020.1/4",23118
"일본","의류 및 패션 관련상품","면세점 이외","2020.2/4",33954
"일본","의류 및 패션 관련상품","면세점 이외","2020.3/4",29968
"일본","의류 및 패션 관련상품","면세점 이외","2020.4/4",32412
"일본","의류 및 패션 관련상품","면세점 이외","2021.1/4",25773
"일본","의류 및 패션 관련상품","면세점 이외","2021.2/4",31238
"일본","의류 및 패션 관련상품","면세점 이외","2021.3/4",28171
"일본","의류 및 패션 관련상품","면세점 이외","2021.4/4",33777
"일본","의류 및 패션 관련상품","면세점 이외","2022.1/4",26975
"일본","의류 및 패션 관련상품","면세점 이외","2022.2/4 p)",25218
"일본","스포츠·레저용품","면세점 이외","2017.1/4",181
"일본","스포츠·레저용품","면세점 이외","2017.2/4",179
"일본","스포츠·레저용품","면세점 이외","2017.3/4",174
"일본","스포츠·레저용품","면세점 이외","2017.4/4",156
"일본","스포츠·레저용품","면세점 이외","2018.1/4",206
"일본","스포츠·레저용품","면세점 이외","2018.2/4",216
"일본","스포츠·레저용품","면세점 이외","2018.3/4",209
"일본","스포츠·레저용품","면세점 이외","2018.4/4",165
"일본","스포츠·레저용품","면세점 이외","2019.1/4",241
"일본","스포츠·레저용품","면세점 이외","2019.2/4",185
"일본","스포츠·레저용품","면세점 이외","2019.3/4",219
"일본","스포츠·레저용품","면세점 이외","2019.4/4",133
"일본","스포츠·레저용품","면세점 이외","2020.1/4",146
"일본","스포츠·레저용품","면세점 이외","2020.2/4",69
"일본","스포츠·레저용품","면세점 이외","2020.3/4",158
"일본","스포츠·레저용품","면세점 이외","2020.4/4",273
"일본","스포츠·레저용품","면세점 이외","2021.1/4",275
"일본","스포츠·레저용품","면세점 이외","2021.2/4",117
"일본","스포츠·레저용품","면세점 이외","2021.3/4",293
"일본","스포츠·레저용품","면세점 이외","2021.4/4",517
"일본","스포츠·레저용품","면세점 이외","2022.1/4",413
"일본","스포츠·레저용품","면세점 이외","2022.2/4 p)",140
"일본","화장품","면세점 이외","2017.1/4",1686
"일본","화장품","면세점 이외","2017.2/4",1084
"일본","화장품","면세점 이외","2017.3/4",1717
"일본","화장품","면세점 이외","2017.4/4",1846
"일본","화장품","면세점 이외","2018.1/4",1731
"일본","화장품","면세점 이외","2018.2/4",911
"일본","화장품","면세점 이외","2018.3/4",1324
"일본","화장품","면세점 이외","2018.4/4",1310
"일본","화장품","면세점 이외","2019.1/4",1895
"일본","화장품","면세점 이외","2019.2/4",1565
"일본","화장품","면세점 이외","2019.3/4",2504
"일본","화장품","면세점 이외","2019.4/4",4942
"일본","화장품","면세점 이외","2020.1/4",6131
"일본","화장품","면세점 이외","2020.2/4",11037
"일본","화장품","면세점 이외","2020.3/4",13053
"일본","화장품","면세점 이외","2020.4/4",11994
"일본","화장품","면세점 이외","2021.1/4",12421
"일본","화장품","면세점 이외","2021.2/4",18768
"일본","화장품","면세점 이외","2021.3/4",23380
"일본","화장품","면세점 이외","2021.4/4",22555
"일본","화장품","면세점 이외","2022.1/4",26664
"일본","화장품","면세점 이외","2022.2/4 p)",16535
"일본","아동·유아용품","면세점 이외","2017.1/4",52
"일본","아동·유아용품","면세점 이외","2017.2/4",43
"일본","아동·유아용품","면세점 이외","2017.3/4",28
"일본","아동·유아용품","면세점 이외","2017.4/4",40
"일본","아동·유아용품","면세점 이외","2018.1/4",50
"일본","아동·유아용품","면세점 이외","2018.2/4",53
"일본","아동·유아용품","면세점 이외","2018.3/4",50
"일본","아동·유아용품","면세점 이외","2018.4/4",102
"일본","아동·유아용품","면세점 이외","2019.1/4",78
"일본","아동·유아용품","면세점 이외","2019.2/4",165
"일본","아동·유아용품","면세점 이외","2019.3/4",146
"일본","아동·유아용품","면세점 이외","2019.4/4",189
"일본","아동·유아용품","면세점 이외","2020.1/4",124
"일본","아동·유아용품","면세점 이외","2020.2/4",206
"일본","아동·유아용품","면세점 이외","2020.3/4",360
"일본","아동·유아용품","면세점 이외","2020.4/4",663
"일본","아동·유아용품","면세점 이외","2021.1/4",310
"일본","아동·유아용품","면세점 이외","2021.2/4",257
"일본","아동·유아용품","면세점 이외","2021.3/4",352
"일본","아동·유아용품","면세점 이외","2021.4/4",212
"일본","아동·유아용품","면세점 이외","2022.1/4",262
"일본","아동·유아용품","면세점 이외","2022.2/4 p)",95
"일본","음·식료품","면세점 이외","2017.1/4",577
"일본","음·식료품","면세점 이외","2017.2/4",305
"일본","음·식료품","면세점 이외","2017.3/4",47
"일본","음·식료품","면세점 이외","2017.4/4",73
"일본","음·식료품","면세점 이외","2018.1/4",321
"일본","음·식료품","면세점 이외","2018.2/4",310
"일본","음·식료품","면세점 이외","2018.3/4",231
"일본","음·식료품","면세점 이외","2018.4/4",858
"일본","음·식료품","면세점 이외","2019.1/4",797
"일본","음·식료품","면세점 이외","2019.2/4",498
"일본","음·식료품","면세점 이외","2019.3/4",911
"일본","음·식료품","면세점 이외","2019.4/4",1037
"일본","음·식료품","면세점 이외","2020.1/4",1787
"일본","음·식료품","면세점 이외","2020.2/4",963
"일본","음·식료품","면세점 이외","2020.3/4",592
"일본","음·식료품","면세점 이외","2020.4/4",1357
"일본","음·식료품","면세점 이외","2021.1/4",3556
"일본","음·식료품","면세점 이외","2021.2/4",3544
"일본","음·식료품","면세점 이외","2021.3/4",3090
"일본","음·식료품","면세점 이외","2021.4/4",3550
"일본","음·식료품","면세점 이외","2022.1/4",2470
"일본","음·식료품","면세점 이외","2022.2/4 p)",2382
"일본","농축수산물","면세점 이외","2017.1/4",1
"일본","농축수산물","면세점 이외","2017.2/4",3
"일본","농축수산물","면세점 이외","2017.3/4",0
"일본","농축수산물","면세점 이외","2017.4/4",0
"일본","농축수산물","면세점 이외","2018.1/4",2
"일본","농축수산물","면세점 이외","2018.2/4",2
"일본","농축수산물","면세점 이외","2018.3/4",2
"일본","농축수산물","면세점 이외","2018.4/4",0
"일본","농축수산물","면세점 이외","2019.1/4",0
"일본","농축수산물","면세점 이외","2019.2/4",6
"일본","농축수산물","면세점 이외","2019.3/4",2
"일본","농축수산물","면세점 이외","2019.4/4",10
"일본","농축수산물","면세점 이외","2020.1/4",1
"일본","농축수산물","면세점 이외","2020.2/4",0
"일본","농축수산물","면세점 이외","2020.3/4",0
"일본","농축수산물","면세점 이외","2020.4/4",1
"일본","농축수산물","면세점 이외","2021.1/4",0
"일본","농축수산물","면세점 이외","2021.2/4",0
"일본","농축수산물","면세점 이외","2021.3/4",0
"일본","농축수산물","면세점 이외","2021.4/4",0
"일본","농축수산물","면세점 이외","2022.1/4",0
"일본","농축수산물","면세점 이외","2022.2/4 p)",0
"일본","생활용품 및 자동차용품","면세점 이외","2017.1/4",735
"일본","생활용품 및 자동차용품","면세점 이외","2017.2/4",695
"일본","생활용품 및 자동차용품","면세점 이외","2017.3/4",698
"일본","생활용품 및 자동차용품","면세점 이외","2017.4/4",661
"일본","생활용품 및 자동차용품","면세점 이외","2018.1/4",919
"일본","생활용품 및 자동차용품","면세점 이외","2018.2/4",858
"일본","생활용품 및 자동차용품","면세점 이외","2018.3/4",888
"일본","생활용품 및 자동차용품","면세점 이외","2018.4/4",544
"일본","생활용품 및 자동차용품","면세점 이외","2019.1/4",1590
"일본","생활용품 및 자동차용품","면세점 이외","2019.2/4",986
"일본","생활용품 및 자동차용품","면세점 이외","2019.3/4",1291
"일본","생활용품 및 자동차용품","면세점 이외","2019.4/4",1113
"일본","생활용품 및 자동차용품","면세점 이외","2020.1/4",1561
"일본","생활용품 및 자동차용품","면세점 이외","2020.2/4",687
"일본","생활용품 및 자동차용품","면세점 이외","2020.3/4",825
"일본","생활용품 및 자동차용품","면세점 이외","2020.4/4",838
"일본","생활용품 및 자동차용품","면세점 이외","2021.1/4",1104
"일본","생활용품 및 자동차용품","면세점 이외","2021.2/4",740
"일본","생활용품 및 자동차용품","면세점 이외","2021.3/4",1159
"일본","생활용품 및 자동차용품","면세점 이외","2021.4/4",2580
"일본","생활용품 및 자동차용품","면세점 이외","2022.1/4",1503
"일본","생활용품 및 자동차용품","면세점 이외","2022.2/4 p)",1721
"일본","기 타","면세점 이외","2017.1/4",4398
"일본","기 타","면세점 이외","2017.2/4",4325
"일본","기 타","면세점 이외","2017.3/4",4449
"일본","기 타","면세점 이외","2017.4/4",4473
"일본","기 타","면세점 이외","2018.1/4",4733
"일본","기 타","면세점 이외","2018.2/4",5376
"일본","기 타","면세점 이외","2018.3/4",5102
"일본","기 타","면세점 이외","2018.4/4",5512
"일본","기 타","면세점 이외","2019.1/4",5283
"일본","기 타","면세점 이외","2019.2/4",5436
"일본","기 타","면세점 이외","2019.3/4",6242
"일본","기 타","면세점 이외","2019.4/4",5852
"일본","기 타","면세점 이외","2020.1/4",5458
"일본","기 타","면세점 이외","2020.2/4",8035
"일본","기 타","면세점 이외","2020.3/4",8466
"일본","기 타","면세점 이외","2020.4/4",8550
"일본","기 타","면세점 이외","2021.1/4",10325
"일본","기 타","면세점 이외","2021.2/4",10843
"일본","기 타","면세점 이외","2021.3/4",9616
"일본","기 타","면세점 이외","2021.4/4",10435
"일본","기 타","면세점 이외","2022.1/4",8967
"일본","기 타","면세점 이외","2022.2/4 p)",9247
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2017.1/4",314
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2017.2/4",293
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2017.3/4",89
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2017.4/4",75
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2018.1/4",342
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2018.2/4",283
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2018.3/4",82
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2018.4/4",137
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2019.1/4",328
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2019.2/4",321
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2019.3/4",96
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2019.4/4",79
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2020.1/4",284
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2020.2/4",118
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2020.3/4",79
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2020.4/4",60
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2021.1/4",278
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2021.2/4",101
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2021.3/4",56
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2021.4/4",33
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2022.1/4",10
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외","2022.2/4 p)",7
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2017.1/4",2169
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2017.2/4",2436
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2017.3/4",1542
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2017.4/4",2295
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2018.1/4",1682
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2018.2/4",1785
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2018.3/4",1780
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2018.4/4",2183
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2019.1/4",2252
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2019.2/4",2153
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2019.3/4",2222
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2019.4/4",2812
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2020.1/4",3457
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2020.2/4",3242
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2020.3/4",3034
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2020.4/4",2672
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2021.1/4",2293
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2021.2/4",2579
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2021.3/4",2586
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2021.4/4",2064
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2022.1/4",1847
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외","2022.2/4 p)",1953
"아세안(ASEAN)","소프트웨어","면세점 이외","2017.1/4",3
"아세안(ASEAN)","소프트웨어","면세점 이외","2017.2/4",1
"아세안(ASEAN)","소프트웨어","면세점 이외","2017.3/4",3
"아세안(ASEAN)","소프트웨어","면세점 이외","2017.4/4",13
"아세안(ASEAN)","소프트웨어","면세점 이외","2018.1/4",6
"아세안(ASEAN)","소프트웨어","면세점 이외","2018.2/4",17
"아세안(ASEAN)","소프트웨어","면세점 이외","2018.3/4",13
"아세안(ASEAN)","소프트웨어","면세점 이외","2018.4/4",6
"아세안(ASEAN)","소프트웨어","면세점 이외","2019.1/4",3
"아세안(ASEAN)","소프트웨어","면세점 이외","2019.2/4",4
"아세안(ASEAN)","소프트웨어","면세점 이외","2019.3/4",1
"아세안(ASEAN)","소프트웨어","면세점 이외","2019.4/4",0
"아세안(ASEAN)","소프트웨어","면세점 이외","2020.1/4",2
"아세안(ASEAN)","소프트웨어","면세점 이외","2020.2/4",1
"아세안(ASEAN)","소프트웨어","면세점 이외","2020.3/4",0
"아세안(ASEAN)","소프트웨어","면세점 이외","2020.4/4",0
"아세안(ASEAN)","소프트웨어","면세점 이외","2021.1/4",2
"아세안(ASEAN)","소프트웨어","면세점 이외","2021.2/4",0
"아세안(ASEAN)","소프트웨어","면세점 이외","2021.3/4",1
"아세안(ASEAN)","소프트웨어","면세점 이외","2021.4/4",0
"아세안(ASEAN)","소프트웨어","면세점 이외","2022.1/4",0
"아세안(ASEAN)","소프트웨어","면세점 이외","2022.2/4 p)",0
"아세안(ASEAN)","서 적","면세점 이외","2017.1/4",1012
"아세안(ASEAN)","서 적","면세점 이외","2017.2/4",829
"아세안(ASEAN)","서 적","면세점 이외","2017.3/4",1825
"아세안(ASEAN)","서 적","면세점 이외","2017.4/4",1918
"아세안(ASEAN)","서 적","면세점 이외","2018.1/4",1376
"아세안(ASEAN)","서 적","면세점 이외","2018.2/4",1998
"아세안(ASEAN)","서 적","면세점 이외","2018.3/4",2023
"아세안(ASEAN)","서 적","면세점 이외","2018.4/4",2131
"아세안(ASEAN)","서 적","면세점 이외","2019.1/4",1123
"아세안(ASEAN)","서 적","면세점 이외","2019.2/4",1209
"아세안(ASEAN)","서 적","면세점 이외","2019.3/4",854
"아세안(ASEAN)","서 적","면세점 이외","2019.4/4",1248
"아세안(ASEAN)","서 적","면세점 이외","2020.1/4",1121
"아세안(ASEAN)","서 적","면세점 이외","2020.2/4",990
"아세안(ASEAN)","서 적","면세점 이외","2020.3/4",876
"아세안(ASEAN)","서 적","면세점 이외","2020.4/4",1205
"아세안(ASEAN)","서 적","면세점 이외","2021.1/4",1004
"아세안(ASEAN)","서 적","면세점 이외","2021.2/4",1169
"아세안(ASEAN)","서 적","면세점 이외","2021.3/4",678
"아세안(ASEAN)","서 적","면세점 이외","2021.4/4",1224
"아세안(ASEAN)","서 적","면세점 이외","2022.1/4",522
"아세안(ASEAN)","서 적","면세점 이외","2022.2/4 p)",926
"아세안(ASEAN)","사무·문구","면세점 이외","2017.1/4",611
"아세안(ASEAN)","사무·문구","면세점 이외","2017.2/4",660
"아세안(ASEAN)","사무·문구","면세점 이외","2017.3/4",705
"아세안(ASEAN)","사무·문구","면세점 이외","2017.4/4",604
"아세안(ASEAN)","사무·문구","면세점 이외","2018.1/4",411
"아세안(ASEAN)","사무·문구","면세점 이외","2018.2/4",422
"아세안(ASEAN)","사무·문구","면세점 이외","2018.3/4",444
"아세안(ASEAN)","사무·문구","면세점 이외","2018.4/4",569
"아세안(ASEAN)","사무·문구","면세점 이외","2019.1/4",569
"아세안(ASEAN)","사무·문구","면세점 이외","2019.2/4",546
"아세안(ASEAN)","사무·문구","면세점 이외","2019.3/4",561
"아세안(ASEAN)","사무·문구","면세점 이외","2019.4/4",698
"아세안(ASEAN)","사무·문구","면세점 이외","2020.1/4",882
"아세안(ASEAN)","사무·문구","면세점 이외","2020.2/4",891
"아세안(ASEAN)","사무·문구","면세점 이외","2020.3/4",804
"아세안(ASEAN)","사무·문구","면세점 이외","2020.4/4",702
"아세안(ASEAN)","사무·문구","면세점 이외","2021.1/4",601
"아세안(ASEAN)","사무·문구","면세점 이외","2021.2/4",672
"아세안(ASEAN)","사무·문구","면세점 이외","2021.3/4",693
"아세안(ASEAN)","사무·문구","면세점 이외","2021.4/4",561
"아세안(ASEAN)","사무·문구","면세점 이외","2022.1/4",519
"아세안(ASEAN)","사무·문구","면세점 이외","2022.2/4 p)",714
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2017.1/4",1115
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2017.2/4",806
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2017.3/4",2222
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2017.4/4",1810
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2018.1/4",1409
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2018.2/4",2006
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2018.3/4",2200
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2018.4/4",3468
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2019.1/4",1524
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2019.2/4",2546
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2019.3/4",1689
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2019.4/4",1875
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2020.1/4",2437
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2020.2/4",3436
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2020.3/4",4189
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2020.4/4",6073
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2021.1/4",7049
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2021.2/4",4490
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2021.3/4",4000
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2021.4/4",4256
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2022.1/4",2765
"아세안(ASEAN)","음반·비디오·악기","면세점 이외","2022.2/4 p)",5277
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2017.1/4",5687
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2017.2/4",5272
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2017.3/4",4533
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2017.4/4",5815
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2018.1/4",3863
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2018.2/4",4680
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2018.3/4",4496
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2018.4/4",5790
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2019.1/4",5549
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2019.2/4",5932
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2019.3/4",5900
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2019.4/4",8039
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2020.1/4",8534
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2020.2/4",10875
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2020.3/4",9753
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2020.4/4",8830
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2021.1/4",7950
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2021.2/4",7096
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2021.3/4",8584
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2021.4/4",7740
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2022.1/4",8364
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외","2022.2/4 p)",7274
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2017.1/4",1569
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2017.2/4",1648
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2017.3/4",1576
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2017.4/4",1515
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2018.1/4",1242
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2018.2/4",1322
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2018.3/4",1300
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2018.4/4",1509
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2019.1/4",1582
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2019.2/4",1454
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2019.3/4",1367
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2019.4/4",1715
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2020.1/4",2101
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2020.2/4",1922
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2020.3/4",1811
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2020.4/4",1589
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2021.1/4",1475
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2021.2/4",1498
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2021.3/4",1502
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2021.4/4",1227
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2022.1/4",1295
"아세안(ASEAN)","스포츠·레저용품","면세점 이외","2022.2/4 p)",1152
"아세안(ASEAN)","화장품","면세점 이외","2017.1/4",4562
"아세안(ASEAN)","화장품","면세점 이외","2017.2/4",3281
"아세안(ASEAN)","화장품","면세점 이외","2017.3/4",-10003
"아세안(ASEAN)","화장품","면세점 이외","2017.4/4",4036
"아세안(ASEAN)","화장품","면세점 이외","2018.1/4",2161
"아세안(ASEAN)","화장품","면세점 이외","2018.2/4",1772
"아세안(ASEAN)","화장품","면세점 이외","2018.3/4",1858
"아세안(ASEAN)","화장품","면세점 이외","2018.4/4",5367
"아세안(ASEAN)","화장품","면세점 이외","2019.1/4",1680
"아세안(ASEAN)","화장품","면세점 이외","2019.2/4",1555
"아세안(ASEAN)","화장품","면세점 이외","2019.3/4",3094
"아세안(ASEAN)","화장품","면세점 이외","2019.4/4",4175
"아세안(ASEAN)","화장품","면세점 이외","2020.1/4",3679
"아세안(ASEAN)","화장품","면세점 이외","2020.2/4",709
"아세안(ASEAN)","화장품","면세점 이외","2020.3/4",1969
"아세안(ASEAN)","화장품","면세점 이외","2020.4/4",975
"아세안(ASEAN)","화장품","면세점 이외","2021.1/4",964
"아세안(ASEAN)","화장품","면세점 이외","2021.2/4",1065
"아세안(ASEAN)","화장품","면세점 이외","2021.3/4",1027
"아세안(ASEAN)","화장품","면세점 이외","2021.4/4",1094
"아세안(ASEAN)","화장품","면세점 이외","2022.1/4",1162
"아세안(ASEAN)","화장품","면세점 이외","2022.2/4 p)",859
"아세안(ASEAN)","아동·유아용품","면세점 이외","2017.1/4",860
"아세안(ASEAN)","아동·유아용품","면세점 이외","2017.2/4",1131
"아세안(ASEAN)","아동·유아용품","면세점 이외","2017.3/4",1217
"아세안(ASEAN)","아동·유아용품","면세점 이외","2017.4/4",1181
"아세안(ASEAN)","아동·유아용품","면세점 이외","2018.1/4",1194
"아세안(ASEAN)","아동·유아용품","면세점 이외","2018.2/4",1360
"아세안(ASEAN)","아동·유아용품","면세점 이외","2018.3/4",1435
"아세안(ASEAN)","아동·유아용품","면세점 이외","2018.4/4",1678
"아세안(ASEAN)","아동·유아용품","면세점 이외","2019.1/4",1473
"아세안(ASEAN)","아동·유아용품","면세점 이외","2019.2/4",1431
"아세안(ASEAN)","아동·유아용품","면세점 이외","2019.3/4",857
"아세안(ASEAN)","아동·유아용품","면세점 이외","2019.4/4",1343
"아세안(ASEAN)","아동·유아용품","면세점 이외","2020.1/4",1116
"아세안(ASEAN)","아동·유아용품","면세점 이외","2020.2/4",786
"아세안(ASEAN)","아동·유아용품","면세점 이외","2020.3/4",377
"아세안(ASEAN)","아동·유아용품","면세점 이외","2020.4/4",419
"아세안(ASEAN)","아동·유아용품","면세점 이외","2021.1/4",212
"아세안(ASEAN)","아동·유아용품","면세점 이외","2021.2/4",1015
"아세안(ASEAN)","아동·유아용품","면세점 이외","2021.3/4",924
"아세안(ASEAN)","아동·유아용품","면세점 이외","2021.4/4",647
"아세안(ASEAN)","아동·유아용품","면세점 이외","2022.1/4",273
"아세안(ASEAN)","아동·유아용품","면세점 이외","2022.2/4 p)",280
"아세안(ASEAN)","음·식료품","면세점 이외","2017.1/4",241
"아세안(ASEAN)","음·식료품","면세점 이외","2017.2/4",184
"아세안(ASEAN)","음·식료품","면세점 이외","2017.3/4",144
"아세안(ASEAN)","음·식료품","면세점 이외","2017.4/4",193
